,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
18,N,176198,0,736.0,1902090.0,10.0,0,0,28372.89,15.4,7.0,9,0,206872,620554.0,0.0,0.0
19,Y,130922,0,747.0,2261304.0,2.0,1,0,9761.25,16.1,30.0,6,0,110428,235488.0,0.0,0.0
20,Y,174548,0,721.0,1620681.0,6.0,1,7,30522.74,15.0,27.0,7,0,40489,128832.0,0.0,0.0
21,N,290224,1,644.0,837045.0,7.0,0,0,8230.99,18.3,10.0,11,0,176624,370480.0,0.0,0.0
22,Y,718784,1,672.0,1648915.0,10.0,0,0,15664.74,12.0,5.0,10,0,252016,489610.0,0.0,0.0
23,Y,602008,1,741.0,2896721.0,2.0,2,0,48278.62,19.6,32.0,17,0,5246261,11887678.0,0.0,0.0
24,Y,171248,0,747.0,3035725.0,10.0,0,0,42500.15,31.5,17.0,11,0,25460,151140.0,0.0,0.0
25,Y,323466,1,699.0,2048618.0,6.0,0,0,27997.64,14.0,72.0,19,1,389994,743952.0,1.0,0.0
26,Y,211222,0,694.0,947625.0,4.0,1,0,8923.35,18.0,65.0,9,1,93081,397694.0,1.0,0.0
27,Y,162360,0,720.0,486875.0,10.0,1,0,8560.83,15.1,46.0,16,0,129504,434654.0,0.0,0.0
28,Y,99999999,0,699.0,2770162.0,5.0,0,0,48708.4,25.6,25.0,13,0,348802,449262.0,0.0,0.0
29,Y,389884,0,657.0,4776125.0,1.0,0,0,42985.22,21.5,4.0,14,1,237500,562386.0,1.0,0.0
30,Y,433312,0,736.0,1010401.0,7.0,0,0,22228.86,16.1,11.0,19,0,201780,613228.0,0.0,0.0
31,Y,99999999,0,737.0,2015159.0,6.0,0,0,21494.89,10.5,54.0,16,0,321214,478060.0,0.0,0.0
32,Y,392282,1,688.0,974662.0,8.0,0,0,10396.42,12.0,10.0,11,0,35663,242946.0,0.0,0.0
33,Y,378334,0,714.0,2120514.0,2.0,1,0,35695.3,17.0,24.0,12,0,75335,413402.0,0.0,0.0
34,Y,99999999,0,734.0,1355802.0,3.0,1,0,15365.68,44.5,31.0,8,0,25441,1841796.0,0.0,0.0
35,N,194942,0,742.0,1212238.0,1.0,1,0,25254.99,27.4,19.0,13,1,176396,339834.0,1.0,0.0
36,Y,731566,0,705.0,1377443.0,10.0,0,0,13429.96,20.4,65.0,18,0,563008,1070432.0,0.0,0.0
37,Y,156772,0,748.0,1411966.0,6.0,0,2,22591.38,18.0,73.0,10,0,38456,251548.0,0.0,0.0
38,N,78738,0,6240.0,536370.0,2.0,1,1,14034.92,10.5,15.0,14,0,138586,266112.0,0.0,0.0
39,Y,453464,0,712.0,895147.0,3.0,1,0,17007.85,14.2,77.0,12,1,137845,222926.0,1.0,0.0
40,Y,166672,0,705.0,1048667.0,10.0,0,0,16166.91,16.0,18.0,10,0,167656,267014.0,0.0,0.0
41,N,119504,0,745.0,938315.0,2.0,0,6,11807.17,13.0,9.0,11,0,32300,104170.0,0.0,0.0
42,Y,33022,0,723.0,1673007.0,7.0,1,0,25234.47,23.3,80.0,13,0,125609,323928.0,0.0,0.0
43,Y,280588,0,717.0,671080.0,3.0,1,0,17447.89,10.0,70.0,10,1,168169,470360.0,1.0,0.0
44,N,556336,1,714.0,1402960.0,10.0,0,0,19524.4,19.5,38.0,5,0,317338,389246.0,0.0,0.0
45,Y,541310,0,722.0,1682982.0,1.0,0,0,52733.36,17.9,35.0,13,0,356288,619432.0,0.0,0.0
46,N,765160,1,719.0,2643242.0,7.0,0,0,34582.47,20.5,47.0,19,0,249755,489302.0,0.0,0.0
47,Y,545886,0,718.0,1565182.0,7.0,1,0,41477.0,15.0,6.0,16,0,80465,296714.0,0.0,0.0
48,Y,354046,1,676.0,1815469.0,10.0,0,2,5522.16,13.0,6.0,6,0,20976,70840.0,0.0,0.0
49,N,86174,0,7210.0,837311.0,1.0,0,0,10884.91,13.6,82.0,15,0,360867,671770.0,0.0,0.0
50,N,509586,1,678.0,1816001.0,2.0,1,0,26180.67,13.9,74.0,32,1,115672,319638.0,1.0,0.0
51,Y,99999999,0,709.0,1806083.0,10.0,0,0,29348.92,16.1,25.0,22,0,492556,724680.0,0.0,0.0
52,Y,218988,0,740.0,775409.0,4.0,0,0,8141.88,14.9,9.0,5,0,100206,186230.0,0.0,0.0
53,N,663168,1,732.0,1527296.0,2.0,0,0,22145.83,17.0,32.0,8,0,331075,543774.0,0.0,0.0
54,Y,752290,1,649.0,2320375.0,3.0,1,0,39252.86,13.4,16.0,13,0,431053,513502.0,0.0,0.0
55,Y,99999999,0,734.0,622991.0,6.0,2,0,8046.88,10.7,75.0,15,0,69179,238370.0,0.0,0.0
56,N,552882,1,686.0,1262151.0,10.0,1,0,23770.71,23.4,48.0,13,0,299706,694056.0,0.0,0.0
57,N,402534,0,741.0,3090160.0,9.0,1,0,23639.8,19.6,6.0,15,0,691467,1332188.0,0.0,0.0
58,N,232716,0,637.0,1049427.0,5.0,1,2,12942.99,9.5,61.0,20,0,226442,389026.0,0.0,0.0
59,Y,286462,1,719.0,1380426.0,10.0,0,0,27378.62,15.7,75.0,10,0,177916,335522.0,0.0,0.0
60,Y,223256,0,740.0,804916.0,7.0,0,0,6774.64,34.4,7.0,13,0,308142,587818.0,0.0,0.0
61,Y,537878,0,743.0,1296807.0,1.0,0,0,24963.53,18.4,70.0,12,0,249223,515306.0,0.0,0.0
62,Y,214786,0,723.0,883329.0,9.0,0,0,11924.97,14.3,79.0,5,0,154755,193314.0,0.0,0.0
63,Y,109538,0,697.0,567606.0,7.0,0,0,5770.68,14.3,62.0,10,0,86716,151206.0,0.0,0.0
64,Y,117986,0,694.0,1886890.0,5.0,1,0,3207.77,12.0,19.0,7,0,80408,351296.0,0.0,0.0
65,Y,87846,0,736.0,625879.0,4.0,2,0,6988.96,50.1,56.0,16,0,96330,714978.0,0.0,0.0
66,Y,190498,0,706.0,892164.0,1.0,1,0,8996.12,13.2,64.0,6,0,88160,117744.0,0.0,0.0
67,Y,229086,0,715.0,787626.0,8.0,1,0,6543.79,23.9,36.0,7,1,71231,152460.0,1.0,0.0
68,N,393558,1,678.0,2317392.0,2.0,2,0,22015.3,14.7,27.0,8,0,124184,145552.0,0.0,0.0
69,Y,99999999,0,726.0,1153851.0,0.0,1,0,7125.0,13.5,39.0,7,0,165984,286440.0,0.0,0.0
70,N,87912,0,7500.0,960184.0,10.0,1,0,3432.73,43.3,42.0,9,0,86051,301026.0,0.0,0.0
71,N,156178,0,716.0,1124040.0,3.0,1,1,8617.64,12.0,33.0,9,5,6194,108790.0,0.0,0.0
72,Y,605726,0,748.0,3609145.0,10.0,0,0,43610.7,23.0,59.0,10,0,378423,475772.0,0.0,0.0
73,N,168300,1,7020.0,688522.0,2.0,1,1,11762.14,17.0,30.0,9,0,128041,273042.0,0.0,0.0
74,Y,174460,0,723.0,1318429.0,3.0,2,1,10547.47,15.0,55.0,14,0,55176,443586.0,0.0,0.0
75,Y,768394,1,651.0,1651252.0,2.0,0,0,19264.67,29.2,30.0,6,0,421420,559592.0,0.0,0.0
76,Y,314226,1,723.0,2638454.0,1.0,0,1,34959.43,18.2,54.0,10,0,662815,969034.0,0.0,0.0
77,Y,716958,0,718.0,1934960.0,9.0,0,2,31765.72,10.0,24.0,9,0,168815,228624.0,0.0,0.0
78,N,547580,0,710.0,1125978.0,0.0,1,0,9758.4,13.8,58.0,6,0,435328,790064.0,0.0,0.0
79,Y,175428,0,698.0,1136238.0,2.0,1,4,2594.45,30.5,68.0,4,0,70832,96470.0,0.0,0.0
80,Y,234806,1,689.0,866799.0,9.0,0,0,3676.69,14.1,7.0,4,2,86051,167750.0,2.0,0.0
81,N,25806,0,685.0,742976.0,8.0,1,1,6377.16,7.1,35.0,5,0,8189,47432.0,0.0,0.0
82,Y,333124,0,703.0,1300246.0,10.0,0,0,13110.76,14.6,22.0,10,0,173128,384032.0,0.0,0.0
83,Y,99999999,0,736.0,1111367.0,1.0,1,1,16577.88,13.5,77.0,8,0,378746,594242.0,0.0,0.0
84,Y,476586,0,707.0,1403207.0,7.0,1,0,18241.52,13.4,11.0,6,0,91580,214654.0,0.0,0.0
85,Y,261800,0,738.0,1488536.0,4.0,1,0,21087.72,16.5,45.0,8,0,178220,274780.0,0.0,0.0
86,Y,377322,0,740.0,1288162.0,0.0,1,0,17068.08,36.3,16.0,8,0,358549,494824.0,0.0,0.0
87,Y,486288,1,707.0,1654577.0,3.0,0,0,22612.47,14.9,14.0,18,0,407835,821282.0,0.0,0.0
88,Y,104368,0,691.0,853974.0,1.0,1,0,22559.08,20.0,32.0,10,1,116223,195580.0,1.0,0.0
89,Y,205854,0,717.0,1898860.0,10.0,0,0,31647.73,22.3,15.0,6,0,195738,251284.0,0.0,0.0
90,Y,111408,0,733.0,1154592.0,10.0,1,0,18762.12,20.4,47.0,9,0,283936,465674.0,0.0,0.0
91,Y,284152,0,700.0,1054519.0,10.0,0,0,15202.66,14.0,36.0,12,0,182780,366146.0,0.0,0.0
92,Y,128832,0,719.0,1483520.0,10.0,1,0,8381.85,30.9,38.0,4,0,36708,64372.0,0.0,0.0
93,Y,152790,0,743.0,678661.0,10.0,1,0,4450.94,14.0,8.0,5,1,119510,229086.0,0.0,0.0
94,N,152966,0,7080.0,1334902.0,4.0,0,0,10845.96,17.1,41.0,13,0,82593,302654.0,0.0,0.0
95,N,83864,0,699.0,564414.0,0.0,1,0,11711.6,11.9,53.0,12,0,18639,107932.0,0.0,0.0
96,Y,99999999,0,724.0,687420.0,4.0,1,1,6530.49,11.1,49.0,4,0,18715,37620.0,0.0,0.0
97,N,142846,0,750.0,654227.0,10.0,0,0,16246.71,17.2,16.0,9,0,53694,112662.0,0.0,0.0
98,Y,504658,0,685.0,3874100.0,10.0,1,0,4100.2,16.0,1.0,7,0,167827,397408.0,0.0,0.0
99,Y,99999999,0,699.0,656849.0,3.0,1,0,3848.07,11.7,60.0,10,0,30552,198682.0,0.0,0.0
100,Y,732028,0,737.0,1724193.0,10.0,0,0,32041.22,18.5,21.0,14,0,628425,1017698.0,0.0,0.0
101,Y,77132,0,657.0,2093762.0,5.0,1,5,47284.16,15.9,81.0,13,0,588449,703142.0,0.0,0.0
102,Y,128634,0,695.0,463657.0,4.0,0,1,9891.4,8.7,16.0,9,0,76133,134178.0,0.0,0.0
103,Y,429264,0,735.0,1816571.0,8.0,2,0,34060.73,11.1,37.0,20,0,387353,1520398.0,0.0,0.0
104,Y,653334,0,722.0,2068891.0,10.0,2,0,29309.21,21.3,53.0,9,0,294291,548724.0,0.0,0.0
105,N,218130,0,728.0,602832.0,5.0,0,0,9142.8,17.6,26.0,10,0,202616,239888.0,0.0,0.0
106,Y,541794,1,674.0,1538145.0,8.0,0,1,12766.67,33.7,64.0,9,0,300029,557634.0,0.0,0.0
107,N,448404,0,746.0,1166220.0,10.0,0,0,19339.72,14.9,20.0,17,0,306907,504064.0,0.0,0.0
108,Y,196108,0,715.0,865602.0,10.0,0,0,11397.34,18.8,29.0,11,1,185478,259402.0,1.0,0.0
109,Y,448272,1,716.0,1045285.0,10.0,0,0,16289.08,23.0,24.0,7,0,115558,157432.0,0.0,0.0
110,Y,99999999,0,721.0,805733.0,10.0,0,0,12757.55,15.9,45.0,9,0,93347,195448.0,0.0,0.0
111,Y,99999999,0,746.0,456646.0,10.0,0,11,2481.02,18.8,56.0,5,0,0,0.0,0.0,0.0
112,N,224796,0,681.0,573819.0,1.0,2,3,4925.37,11.4,20.0,6,0,115862,296780.0,0.0,0.0
113,Y,401852,1,725.0,1263785.0,10.0,0,0,15059.97,15.3,39.0,6,1,58482,101376.0,1.0,0.0
114,Y,273482,1,693.0,1115699.0,10.0,0,0,13667.27,15.9,51.0,6,0,65683,109758.0,0.0,0.0
115,Y,323708,0,723.0,1640061.0,3.0,1,0,21047.44,21.2,31.0,14,0,546782,924242.0,0.0,0.0
116,N,88528,0,696.0,993833.0,2.0,1,0,2550.94,20.8,35.0,11,0,38532,241142.0,0.0,0.0
117,Y,132022,0,727.0,855095.0,7.0,1,0,14180.08,17.6,55.0,10,0,130131,251108.0,0.0,0.0
118,Y,277948,0,707.0,1118948.0,10.0,1,0,29465.58,15.7,63.0,11,1,66994,129294.0,1.0,0.0
119,Y,219186,0,748.0,2233697.0,3.0,0,0,14779.72,20.6,37.0,11,0,281618,939708.0,0.0,0.0
120,Y,178684,0,739.0,1176727.0,2.0,1,0,19514.14,20.7,45.0,11,0,192337,281534.0,0.0,0.0
121,Y,108526,0,743.0,1312045.0,7.0,0,1,7380.17,19.0,56.0,10,1,71953,108504.0,0.0,0.0
122,Y,588544,1,687.0,1491158.0,5.0,0,0,15284.36,16.3,71.0,17,0,428963,1118722.0,0.0,0.0
123,Y,99999999,0,725.0,2229137.0,0.0,1,0,14656.6,19.9,8.0,6,0,125742,224334.0,0.0,0.0
124,Y,391468,0,742.0,629850.0,0.0,1,0,10025.16,17.8,14.0,8,0,57570,169620.0,0.0,0.0
125,Y,99999999,0,737.0,1054937.0,10.0,2,0,15472.27,22.8,53.0,11,0,480434,881606.0,0.0,0.0
126,Y,628474,1,676.0,1235741.0,10.0,0,0,26568.46,26.5,7.0,12,0,252871,603702.0,0.0,0.0
127,N,765006,1,736.0,6606775.0,7.0,2,0,5780.94,24.1,43.0,11,0,369170,1978966.0,0.0,0.0
128,N,141636,0,7160.0,1051175.0,1.0,0,0,13227.04,12.5,18.0,12,0,151791,201322.0,0.0,0.0
129,Y,334686,0,742.0,963490.0,10.0,0,0,12284.45,20.5,58.0,15,0,406220,863060.0,0.0,0.0
130,Y,712404,1,618.0,6283072.0,2.0,1,1,20262.93,14.7,45.0,10,1,135641,358556.0,1.0,0.0
131,Y,764390,1,705.0,1603220.0,2.0,0,0,34869.75,30.6,50.0,15,0,425448,1089902.0,0.0,0.0
132,Y,616902,1,647.0,1405772.0,0.0,2,0,18626.27,17.9,64.0,4,0,317338,433818.0,0.0,0.0
133,Y,99999999,0,716.0,2848575.0,0.0,0,2,23263.41,31.5,10.0,14,0,371051,1053052.0,0.0,0.0
134,Y,170962,0,710.0,598082.0,6.0,1,0,7426.15,12.8,5.0,14,0,117211,622534.0,0.0,0.0
135,Y,99999999,0,704.0,1160862.0,6.0,0,0,25442.14,14.8,13.0,9,0,607202,730092.0,0.0,0.0
136,Y,332222,0,746.0,891119.0,3.0,1,0,11733.07,23.8,42.0,9,0,293683,717420.0,0.0,0.0
137,Y,99999999,0,743.0,1496193.0,2.0,0,0,17081.57,20.7,33.0,11,0,176567,276298.0,0.0,0.0
138,Y,440132,1,676.0,1292380.0,6.0,0,0,4157.2,15.6,69.0,3,0,150822,219956.0,0.0,0.0
139,Y,112574,0,729.0,1555416.0,10.0,3,7,10706.5,13.7,40.0,13,0,86507,770440.0,0.0,0.0
140,Y,764544,1,703.0,1697859.0,6.0,0,2,17685.96,25.5,31.0,10,1,300789,657118.0,1.0,0.0
141,Y,446336,1,683.0,1117865.0,7.0,0,0,7573.59,15.9,36.0,4,1,148960,238898.0,1.0,0.0
142,Y,146982,0,670.0,981578.0,10.0,1,0,25030.22,22.5,76.0,19,0,532589,828872.0,0.0,0.0
143,Y,533698,1,699.0,1853298.0,1.0,1,0,30270.61,21.6,72.0,18,0,342209,589644.0,0.0,0.0
144,N,133936,0,639.0,347035.0,1.0,0,2,6969.39,15.4,22.0,10,0,68742,151910.0,0.0,0.0
145,N,47806,0,671.0,835620.0,2.0,1,1,3070.97,12.8,12.0,10,0,48051,60764.0,0.0,0.0
146,N,147576,0,748.0,463429.0,2.0,1,0,8573.56,12.9,36.0,20,0,88939,357588.0,0.0,0.0
147,Y,545160,1,699.0,3954888.0,10.0,0,0,27881.93,18.1,39.0,15,0,163020,215974.0,0.0,0.0
148,Y,657294,0,691.0,2270652.0,4.0,1,0,24031.01,11.3,40.0,12,0,405327,811998.0,0.0,0.0
149,Y,99999999,0,743.0,2688462.0,1.0,1,0,32037.42,20.5,34.0,14,0,198094,749606.0,0.0,0.0
150,Y,99999999,0,738.0,992256.0,7.0,1,0,15793.37,18.2,14.0,11,0,348878,738496.0,0.0,0.0
151,Y,268004,0,750.0,867996.0,10.0,1,0,21410.53,23.0,75.0,15,0,309776,1203664.0,0.0,0.0
152,Y,776864,0,687.0,1629383.0,10.0,0,0,34895.78,19.6,63.0,24,1,481783,950334.0,1.0,0.0
153,Y,662310,0,699.0,1258389.0,10.0,0,0,13213.17,17.5,64.0,8,1,302309,562782.0,1.0,0.0
154,Y,353232,0,712.0,823707.0,10.0,0,0,13659.67,9.8,41.0,9,0,117496,242968.0,0.0,0.0
155,Y,221056,0,741.0,954560.0,10.0,1,0,9386.57,12.0,13.0,19,0,117420,229658.0,0.0,0.0
156,Y,99999999,0,739.0,3095632.0,3.0,0,0,41017.2,21.0,19.0,15,0,288002,508354.0,0.0,0.0
157,Y,99999999,0,726.0,2311236.0,9.0,0,2,35438.99,23.9,18.0,18,0,3528718,10189234.0,0.0,0.0
158,Y,281710,0,728.0,831953.0,2.0,0,0,12964.46,18.0,52.0,12,0,461415,907104.0,0.0,0.0
159,Y,161656,0,749.0,874874.0,9.0,0,0,12226.5,16.1,19.0,10,0,159676,394218.0,0.0,0.0
160,Y,294580,0,744.0,1734624.0,10.0,1,0,8051.63,17.8,6.0,12,0,229007,433290.0,0.0,0.0
161,Y,39138,0,731.0,751336.0,4.0,0,2,10894.41,10.6,27.0,11,0,77539,302302.0,0.0,0.0
162,Y,260436,1,734.0,1244272.0,10.0,0,0,11924.21,28.4,26.0,12,0,189696,625812.0,0.0,0.0
163,Y,264396,0,737.0,1712565.0,10.0,1,0,19980.02,21.9,49.0,13,0,380665,1075052.0,0.0,0.0
164,N,444752,1,7060.0,1920520.0,5.0,1,0,43371.68,16.1,72.0,22,0,353362,611578.0,0.0,0.0
165,N,224312,0,700.0,678034.0,3.0,1,0,13052.24,12.8,64.0,13,0,240863,639650.0,0.0,0.0
166,Y,222728,1,615.0,905160.0,1.0,1,9,18706.64,16.2,49.0,9,0,64676,135432.0,0.0,0.0
167,Y,450648,0,737.0,1634627.0,10.0,1,0,10570.65,32.5,20.0,6,1,93252,151008.0,1.0,0.0
168,Y,152372,0,697.0,845937.0,0.0,1,0,2876.22,8.8,46.0,10,0,56943,215468.0,0.0,0.0
169,Y,152372,0,697.0,845937.0,0.0,1,0,2876.22,8.8,46.0,10,0,56943,215468.0,0.0,0.0
170,N,234036,0,703.0,665798.0,10.0,0,0,11263.01,17.0,39.0,13,0,242098,308396.0,0.0,0.0
171,Y,649902,1,695.0,1309651.0,10.0,2,0,6810.17,26.0,74.0,7,0,300884,361768.0,0.0,0.0
172,Y,214632,0,722.0,1448237.0,9.0,0,0,33188.63,15.0,10.0,25,0,485982,970200.0,0.0,0.0
173,Y,99999999,1,710.0,1733788.0,1.0,0,0,39443.43,35.6,69.0,23,0,761254,1620344.0,0.0,0.0
174,Y,99999999,1,693.0,1885959.0,10.0,0,0,8046.88,21.8,35.0,10,0,315932,923758.0,0.0,0.0
175,Y,396286,0,741.0,2528767.0,10.0,0,0,17111.4,28.9,4.0,11,0,174781,535414.0,0.0,0.0
176,Y,531168,1,724.0,1834944.0,10.0,0,0,23242.7,38.0,75.0,16,0,534033,942612.0,0.0,0.0
177,Y,134596,0,723.0,1356201.0,1.0,0,0,18308.78,21.5,10.0,19,0,286596,707586.0,0.0,0.0
178,N,215446,0,7200.0,1308283.0,1.0,1,0,11992.61,22.0,27.0,13,0,139479,192940.0,0.0,0.0
179,N,781022,1,653.0,2004253.0,10.0,0,0,35993.22,26.4,48.0,17,0,622554,1115862.0,0.0,0.0
180,Y,99999999,1,707.0,1208324.0,3.0,0,0,18527.66,12.8,45.0,17,0,631788,1213190.0,0.0,0.0
181,Y,99999999,0,738.0,2081792.0,10.0,0,0,21511.99,25.6,27.0,10,0,163153,227612.0,0.0,0.0
182,Y,99999999,0,745.0,665608.0,1.0,1,0,14754.07,15.5,55.0,5,0,231553,376552.0,0.0,0.0
183,Y,556996,0,733.0,4521715.0,1.0,1,6,44086.65,27.0,40.0,18,0,106001,1157904.0,0.0,0.0
184,Y,158026,0,716.0,1091854.0,10.0,0,2,11009.55,14.3,7.0,7,0,87438,188540.0,0.0,0.0
185,Y,130746,0,734.0,1018590.0,10.0,1,0,16891.57,22.8,29.0,7,1,41230,191686.0,1.0,0.0
186,Y,267784,1,689.0,1638104.0,1.0,2,0,48050.62,12.2,20.0,10,0,60325,403722.0,0.0,0.0
187,N,44022,0,666.0,910727.0,0.0,0,1,19808.26,22.5,24.0,8,0,419748,514866.0,0.0,0.0
188,Y,151602,0,739.0,1084805.0,3.0,1,0,7204.99,10.7,61.0,6,0,69331,395472.0,0.0,0.0
189,Y,99999999,0,737.0,1324452.0,1.0,1,0,23619.47,12.8,25.0,30,0,108908,298100.0,0.0,0.0
190,Y,324346,0,742.0,954370.0,4.0,1,0,17019.63,10.0,34.0,17,0,121448,404096.0,0.0,0.0
191,Y,259138,0,751.0,2517804.0,10.0,0,0,14687.19,18.8,37.0,11,0,138491,1252878.0,0.0,0.0
192,N,32450,0,711.0,653904.0,3.0,1,2,11770.12,8.2,34.0,11,0,129656,231308.0,0.0,0.0
193,Y,99999999,0,727.0,2299836.0,10.0,0,0,34305.83,12.5,60.0,11,1,30932,99770.0,0.0,1.0
194,N,388168,0,744.0,2234856.0,10.0,0,0,40041.17,21.0,18.0,9,0,681587,896852.0,0.0,0.0
195,Y,99999999,0,743.0,2278632.0,4.0,1,0,32850.24,14.5,38.0,12,0,444315,1309066.0,0.0,0.0
196,Y,648516,0,730.0,1400205.0,6.0,0,0,21353.15,19.0,69.0,8,0,265905,332156.0,0.0,0.0
197,Y,448932,0,738.0,1473317.0,8.0,2,0,17557.14,14.7,25.0,10,0,160569,321112.0,0.0,0.0
198,N,221320,0,740.0,860130.0,10.0,0,0,5390.11,14.0,21.0,11,1,117952,378334.0,1.0,0.0
199,N,445632,1,680.0,877059.0,10.0,1,2,12205.6,33.5,12.0,9,0,344584,701206.0,0.0,0.0
200,N,219054,0,723.0,1067154.0,9.0,0,0,24455.66,15.4,29.0,8,0,100814,130284.0,0.0,0.0
201,Y,132616,0,743.0,1527144.0,10.0,0,0,40342.32,22.4,25.0,16,0,159030,814770.0,0.0,0.0
202,Y,96800,0,712.0,371564.0,3.0,1,0,6874.01,14.1,65.0,14,0,177688,340054.0,0.0,0.0
203,Y,43054,0,747.0,490713.0,2.0,1,0,8346.32,21.7,81.0,10,0,75962,240988.0,0.0,0.0
204,N,321420,0,7450.0,1542192.0,3.0,0,0,12106.23,21.4,39.0,4,0,121657,145068.0,0.0,0.0
205,Y,156552,0,720.0,1840397.0,10.0,0,0,31440.25,19.1,45.0,10,0,258400,406538.0,0.0,0.0
206,N,108130,1,7300.0,672372.0,2.0,1,8,7883.48,13.4,53.0,6,0,216068,674366.0,0.0,0.0
207,Y,608014,0,709.0,1067686.0,6.0,0,3,16460.08,18.1,13.0,7,0,88084,352946.0,0.0,0.0
208,Y,99999999,0,747.0,805030.0,2.0,1,0,7781.83,18.2,53.0,19,0,152969,487938.0,0.0,0.0
209,Y,306482,0,740.0,1134414.0,10.0,1,0,22688.28,19.6,41.0,12,0,194389,389400.0,0.0,0.0
210,Y,327866,0,726.0,1359108.0,8.0,2,0,5742.18,16.2,70.0,11,0,164958,427306.0,0.0,0.0
211,Y,99999999,0,739.0,1029439.0,10.0,1,0,12696.18,14.5,20.0,13,0,76760,305426.0,0.0,0.0
212,Y,757768,1,739.0,4674475.0,9.0,1,0,71285.72,16.0,3.0,12,0,475133,883058.0,0.0,0.0
213,Y,110462,0,738.0,1526384.0,5.0,1,0,5075.28,23.4,69.0,6,0,175864,245344.0,0.0,0.0
214,Y,266926,0,749.0,922127.0,6.0,0,0,10066.58,38.3,70.0,17,0,234346,673332.0,0.0,0.0
215,N,560956,0,664.0,1637059.0,5.0,1,0,44746.33,17.6,8.0,13,0,380779,567446.0,0.0,0.0
216,Y,99999999,0,700.0,1489771.0,6.0,0,0,23141.24,14.0,1.0,11,0,65626,926706.0,0.0,0.0
217,Y,337150,1,721.0,1119936.0,6.0,1,0,15959.05,12.5,15.0,9,0,166573,484594.0,0.0,0.0
218,Y,156090,0,706.0,1872260.0,10.0,1,0,25275.51,18.5,12.0,8,0,541386,698060.0,0.0,0.0
219,Y,263318,0,738.0,707085.0,1.0,1,0,12962.94,14.8,18.0,10,0,232940,451770.0,0.0,0.0
220,Y,762454,0,695.0,1467484.0,10.0,0,2,10199.01,17.4,54.0,6,0,129884,674454.0,0.0,0.0
221,Y,304062,1,636.0,2344600.0,0.0,1,0,9163.51,14.8,21.0,15,0,440838,743006.0,0.0,0.0
222,Y,153868,0,741.0,2183043.0,9.0,0,0,49482.08,24.0,38.0,15,0,688655,887986.0,0.0,0.0
223,Y,132704,0,746.0,1375391.0,0.0,1,0,12493.07,15.5,53.0,11,0,129808,356158.0,0.0,0.0
224,Y,121440,0,731.0,749132.0,1.0,1,0,17479.62,18.6,22.0,15,0,95456,504702.0,0.0,0.0
225,Y,671836,0,707.0,1318695.0,0.0,0,0,18022.26,21.1,31.0,9,0,146965,348700.0,0.0,0.0
